"","Transitions","bodySize","hostDistances","rangeOverlap","roostOverlap","wingAspectRatio","wingLoading","Transition_Rates","Key"
"Ls->Lx",0,48.3,0.662,0.001,1,1,3.891836735,0.000999999999999999,"Ls->Lx"
"Ma->Lx",0,49,0.854,0.001,0,0.85859375,3.891836735,0.000999999999999999,"Ma->Lx"
"Mc->Lx",0,51,0.777,0.121306002,0,2.1,3.891836735,0.000999999999999999,"Mc->Lx"
"Ml->Lx",0,44,0.796,0.002042596,0,1.7,3.891836735,0.000999999999999999,"Ml->Lx"
"My->Lx",0,47,0.84,0.106301063,0,1.4,3.891836735,0.000999999999999999,"My->Lx"
"Nh->Lx",0,53,0.876,0.001,0,0.9,3.891836735,0.000999999999999999,"Nh->Lx"
"Ph->Lx",0,73,0.656,0.16707227,0,2,3.891836735,0.000999999999999999,"Ph->Lx"
"Ps->Lx",0,57,0.73,0.001,0,1.5,3.891836735,0.000999999999999999,"Ps->Lx"
"Tb->Lx",0,37,0.749,0.066152795,0,0.5,3.891836735,0.000999999999999999,"Tb->Lx"
"Ap->Ma",0,38,0.794,0.001,1,0.85859375,3.891836735,0.000999999999999999,"Ap->Ma"
"Ef->Ma",1,41,0.887,0.111254299,1,0.85859375,3.891836735,0.000999999999999999,"Ef->Ma"
"Lb->Ma",0,11.9,0.944,0.193126823,0,0.85859375,3.891836735,0.000999999999999999,"Lb->Ma"
"Lbl->Ma",0,15,0.866,0.001,0,0.85859375,3.891836735,0.000999999999999999,"Lbl->Ma"
"Lc->Ma",0,53,0.776,0.111390027,0,0.85859375,3.891836735,0.000999999999999999,"Lc->Ma"
"Li->Ma",0,49,0.926,0.607643267,0,0.85859375,3.891836735,0.000999999999999999,"Li->Ma"
"Ln->Ma",0,18,0.853,0.090564353,1,0.85859375,3.891836735,0.000999999999999999,"Ln->Ma"
"Ls->Ma",0,0.7,0.982,0.62023378,0,0.85859375,3.891836735,0.000999999999999999,"Ls->Ma"
"Lx->Ma",0,49,0.854,0.001,0,0.85859375,3.891836735,0.000999999999999999,"Lx->Ma"
"Mc->Ma",0,2,0.273,0.001,1,0.85859375,3.891836735,0.000999999999999999,"Mc->Ma"
"Ml->Ma",0,5,0.292,0.109582888,1,0.85859375,3.891836735,0.000999999999999999,"Ml->Ma"
"My->Ma",0,2,0.196,0.001,1,0.85859375,3.891836735,0.000999999999999999,"My->Ma"
"Nh->Ma",0,4,0.882,0.373929497,1,0.85859375,3.891836735,0.000999999999999999,"Nh->Ma"
"Ph->Ma",0,24,0.576,0.001,0,0.85859375,3.891836735,0.000999999999999999,"Ph->Ma"
"Ps->Ma",0,8,0.65,0.248029161,1,0.85859375,3.891836735,0.000999999999999999,"Ps->Ma"
"Tb->Ma",0,12,0.989,0.18249628,1,0.85859375,3.891836735,0.000999999999999999,"Tb->Ma"
"Ap->Mc",0,40,0.717,0.674152926,1,0.5,3.3,0.000999999999999999,"Ap->Mc"
"Ef->Mc",0,43,0.81,0.255905872,1,1,4.6,0.000999999999999999,"Ef->Mc"
"Lb->Mc",0,13.9,0.867,0.001,0,1.1,9.2,0.000999999999999999,"Lb->Mc"
"Lbl->Mc",1,17,0.789,0.58193606,0,1.1,9.2,0.000999999999999999,"Lbl->Mc"
"Lc->Mc",1,55,0.699,0.257115352,0,2.5,11.7,0.000999999999999999,"Lc->Mc"
"Li->Mc",0,51,0.849,0.001,0,2.1,3.891836735,0.000999999999999999,"Li->Mc"
"Ln->Mc",1,20,0.776,0.23339935,1,1,3.4,0.000999999999999999,"Ln->Mc"
"Ls->Mc",0,2.7,0.905,0.001,0,1.1,9.2,0.000999999999999999,"Ls->Mc"
"Lx->Mc",0,51,0.777,1,0,2.1,3.891836735,0.000999999999999999,"Lx->Mc"
"Ma->Mc",0,2,0.273,0.001,1,0.85859375,3.891836735,0.000999999999999999,"Ma->Mc"
"Ml->Mc",5,7,0.139,0.235250685,1,0.4,2.7,0.000999999999999999,"Ml->Mc"
"My->Mc",1,4,0.259,0.799062631,1,0.7,3,0.000999999999999999,"My->Mc"
"Nh->Mc",0,2,0.805,0.001,1,1.2,5.9,0.000999999999999999,"Nh->Mc"
"Ph->Mc",0,22,0.499,0.814583745,1,0.1,2.1,0.000999999999999999,"Ph->Mc"
"Ps->Mc",0,6,0.573,0.001,1,0.6,0.8,0.000999999999999999,"Ps->Mc"
"Tb->Mc",0,14,0.912,0.363652028,1,2.6,6.7,0.000999999999999999,"Tb->Mc"
"Ap->Ml",0,33,0.736,0.544229558,1,0.1,0.6,0.000999999999999999,"Ap->Ml"
"Ef->Ml",2,36,0.829,0.719226944,1,0.6,1.9,0.000999999999999999,"Ef->Ml"
"Lb->Ml",1,6.9,0.886,0.71309991,0,0.7,6.5,0.000999999999999999,"Lb->Ml"
"Lbl->Ml",0,10,0.808,0.650341975,0,0.7,6.5,0.000999999999999999,"Lbl->Ml"
"Lc->Ml",0,48,0.718,0.303803852,0,2.1,9,0.000999999999999999,"Lc->Ml"
"Li->Ml",0,44,0.868,0.402663697,0,1.7,3.891836735,0.000999999999999999,"Li->Ml"
"Ln->Ml",1,13,0.795,0.755943753,1,0.6,0.7,0.000999999999999999,"Ln->Ml"
"Ls->Ml",0,4.3,0.924,0.626244405,0,0.7,6.5,0.000999999999999999,"Ls->Ml"
"Lx->Ml",0,44,0.796,0.047325022,0,1.7,3.891836735,0.000999999999999999,"Lx->Ml"
"Ma->Ml",0,5,0.292,0.708429769,1,0.85859375,3.891836735,0.000999999999999999,"Ma->Ml"
"Mc->Ml",1,7,0.139,0.661182741,1,0.4,2.7,0.000999999999999999,"Mc->Ml"
"My->Ml",0,3,0.278,0.598910304,1,0.3,0.3,0.000999999999999999,"My->Ml"
"Nh->Ml",0,9,0.824,0.68699529,1,0.8,3.2,0.000999999999999999,"Nh->Ml"
"Ph->Ml",1,29,0.518,0.40592422,1,0.3,0.6,0.000999999999999999,"Ph->Ml"
"Ps->Ml",0,13,0.592,0.758538958,1,0.2,1.9,0.000999999999999999,"Ps->Ml"
"Tb->Ml",0,7,0.931,0.453478658,1,2.2,4,0.000999999999999999,"Tb->Ml"
"Ap->My",0,36,0.78,0.728197569,1,0.2,0.3,0.000999999999999999,"Ap->My"
"Ef->My",2,39,0.873,0.292028297,1,0.3,1.6,0.000999999999999999,"Ef->My"
"Lb->My",0,9.9,0.93,0.011562879,0,0.4,6.2,0.000999999999999999,"Lb->My"
"Lbl->My",0,13,0.852,0.668353328,0,0.4,6.2,0.000999999999999999,"Lbl->My"
"Lc->My",1,51,0.762,0.293810392,0,1.8,8.7,0.000999999999999999,"Lc->My"
"Li->My",0,47,0.912,0.001,0,1.4,3.891836735,0.000999999999999999,"Li->My"
"Ln->My",0,16,0.839,0.001,0,0.3,0.4,0.000999999999999999,"Ln->My"
"Ls->My",0,1.3,0.968,0.001,0,0.4,6.2,0.000999999999999999,"Ls->My"
"Lx->My",0,47,0.84,1,0,1.4,3.891836735,0.000999999999999999,"Lx->My"
"Ma->My",0,2,0.196,0.001,1,0.85859375,3.891836735,0.000999999999999999,"Ma->My"
"Mc->My",0,4,0.259,0.911854418,1,0.7,3,0.000999999999999999,"Mc->My"
"Ml->My",3,3,0.278,0.020322085,1,0.3,0.3,0.000999999999999999,"Ml->My"
"Nh->My",0,6,0.868,0.001,1,0.5,2.9,0.000999999999999999,"Nh->My"
"Ph->My",0,26,0.562,0.87886285,0,0.6,0.9,0.000999999999999999,"Ph->My"
"Ps->My",0,10,0.636,2.12e-05,1,0.1,2.2,0.000999999999999999,"Ps->My"
"Tb->My",0,10,0.975,0.39195068,1,1.9,3.7,0.000999999999999999,"Tb->My"
"Ap->Nh",0,42,0.74,0.032125109,1,0.7,2.6,0.000999999999999999,"Ap->Nh"
"Ef->Nh",1,45,0.615,0.297516267,1,0.2,1.3,0.000999999999999999,"Ef->Nh"
"Lb->Nh",1,15.9,0.966,0.516459788,0,0.1,3.3,0.000999999999999999,"Lb->Nh"
"Lbl->Nh",0,19,0.888,0.001,0,0.1,3.3,0.000999999999999999,"Lbl->Nh"
"Lc->Nh",0,57,0.798,0.293283814,0,1.3,5.8,0.000999999999999999,"Lc->Nh"
"Li->Nh",0,53,0.948,0.987896909,0,0.9,3.891836735,0.000999999999999999,"Li->Nh"
"Ln->Nh",0,22,0.531,0.278282088,1,0.2,2.5,0.000999999999999999,"Ln->Nh"
"Ls->Nh",0,4.7,1.004,0.94040563,0,0.1,3.3,0.000999999999999999,"Ls->Nh"
"Lx->Nh",0,53,0.876,0.001,0,0.9,3.891836735,0.000999999999999999,"Lx->Nh"
"Ma->Nh",0,4,0.882,0.999962335,1,0.85859375,3.891836735,0.000999999999999999,"Ma->Nh"
"Mc->Nh",0,2,0.805,0.001,1,1.2,5.9,0.000999999999999999,"Mc->Nh"
"Ml->Nh",0,9,0.824,0.284180069,1,0.8,3.2,0.000999999999999999,"Ml->Nh"
"My->Nh",0,6,0.868,0.001,1,0.5,2.9,0.000999999999999999,"My->Nh"
"Ph->Nh",0,20,0.684,0.001,0,1.1,3.8,0.000999999999999999,"Ph->Nh"
"Ps->Nh",0,4,0.758,0.639340968,1,0.6,5.1,0.000999999999999999,"Ps->Nh"
"Tb->Nh",0,16,1.011,0.387411273,1,1.4,0.8,0.000999999999999999,"Tb->Nh"
"Ap->Ph",0,62,0.596,0.529646154,1,0.4,1.2,0.000999999999999999,"Ap->Ph"
"Ef->Ph",1,65,0.689,0.18580533,0,0.9,2.5,0.000999999999999999,"Ef->Ph"
"Lb->Ph",0,35.9,0.746,0.01903271,0,1,7.1,0.000999999999999999,"Lb->Ph"
"Lbl->Ph",0,39,0.668,0.421647013,0,1,7.1,0.000999999999999999,"Lbl->Ph"
"Lc->Ph",0,77,0.578,0.187172672,0,2.4,9.6,0.000999999999999999,"Lc->Ph"
"Li->Ph",0,73,0.728,0.001,0,2,3.891836735,0.000999999999999999,"Li->Ph"
"Ln->Ph",0,42,0.655,0.158496758,1,0.9,1.3,0.000999999999999999,"Ln->Ph"
"Ls->Ph",0,24.7,0.784,0.001,0,1,7.1,0.000999999999999999,"Ls->Ph"
"Lx->Ph",0,73,0.656,1,0,2,3.891836735,0.000999999999999999,"Lx->Ph"
"Ma->Ph",0,24,0.576,0.001,0,0.85859375,3.891836735,0.000999999999999999,"Ma->Ph"
"Mc->Ph",0,22,0.499,0.591444037,1,0.1,2.1,0.000999999999999999,"Mc->Ph"
"Ml->Ph",0,29,0.518,0.104865413,1,0.3,0.6,0.000999999999999999,"Ml->Ph"
"My->Ph",0,26,0.562,0.559183488,0,0.6,0.9,0.000999999999999999,"My->Ph"
"Nh->Ph",0,20,0.684,0.001,0,1.1,3.8,0.000999999999999999,"Nh->Ph"
"Ps->Ph",0,16,0.434,0.002605376,1,0.5,1.3,0.000999999999999999,"Ps->Ph"
"Tb->Ph",0,36,0.791,0.344288288,0,2.5,4.6,0.000999999999999999,"Tb->Ph"
"Ap->Ps",0,46,0.67,0.060654874,1,0.1,2.5,0.000999999999999999,"Ap->Ps"
"Ef->Ps",0,49,0.763,0.444348723,1,0.4,3.8,0.000999999999999999,"Ef->Ps"
"Lb->Ps",1,19.9,0.82,0.764603681,0,0.5,8.4,0.000999999999999999,"Lb->Ps"
"Lbl->Ps",0,23,0.742,0.001,0,0.5,8.4,0.000999999999999999,"Lbl->Ps"
"Lc->Ps",0,61,0.652,0.441196809,0,1.9,10.9,0.000999999999999999,"Lc->Ps"
"Li->Ps",0,57,0.802,0.959691865,0,1.5,3.891836735,0.000999999999999999,"Li->Ps"
"Ln->Ps",1,26,0.729,0.443048579,1,0.4,2.6,0.000999999999999999,"Ln->Ps"
"Ls->Ps",0,8.7,0.858,0.032222179,0,0.5,8.4,0.000999999999999999,"Ls->Ps"
"Lx->Ps",0,57,0.73,0.001,0,1.5,3.891836735,0.000999999999999999,"Lx->Ps"
"Ma->Ps",0,8,0.65,0.990626359,1,0.85859375,3.891836735,0.000999999999999999,"Ma->Ps"
"Mc->Ps",0,6,0.573,0.001,1,0.6,0.8,0.000999999999999999,"Mc->Ps"
"Ml->Ps",0,13,0.592,0.468630948,1,0.2,1.9,0.000999999999999999,"Ml->Ps"
"My->Ps",0,10,0.636,3.23e-05,1,0.1,2.2,0.000999999999999999,"My->Ps"
"Nh->Ps",0,4,0.758,0.954873307,1,0.6,5.1,0.000999999999999999,"Nh->Ps"
"Ph->Ps",0,16,0.434,0.006230689,1,0.5,1.3,0.000999999999999999,"Ph->Ps"
"Tb->Ps",0,20,0.865,0.425094541,1,2,5.9,0.000999999999999999,"Tb->Ps"
"Ap->Tb",0,26,0.923,0.773330991,1,2.1,3.4,0.000999999999999999,"Ap->Tb"
"Ef->Tb",2,29,1.016,0.468980589,1,1.6,2.1,0.000999999999999999,"Ef->Tb"
"Lb->Tb",0,0.1,0.839,0.420313775,0,1.5,2.5,0.000999999999999999,"Lb->Tb"
"Lbl->Tb",0,3,0.761,0.597385233,0,1.5,2.5,0.000999999999999999,"Lbl->Tb"
"Lc->Tb",0,41,0.671,0.465824797,0,0.1,5,0.000999999999999999,"Lc->Tb"
"Li->Tb",0,37,0.821,0.950586329,0,0.5,3.891836735,0.000999999999999999,"Li->Tb"
"Ln->Tb",0,6,0.982,0.420153215,0,1.6,3.3,0.000999999999999999,"Ln->Tb"
"Ls->Tb",0,11.3,0.877,0.83800085,0,1.5,2.5,0.000999999999999999,"Ls->Tb"
"Lx->Tb",0,37,0.749,1,0,0.5,3.891836735,0.000999999999999999,"Lx->Tb"
"Ma->Tb",0,12,0.989,0.7697533,1,0.85859375,3.891836735,0.000999999999999999,"Ma->Tb"
"Mc->Tb",0,14,0.912,0.666837643,1,2.6,6.7,0.000999999999999999,"Mc->Tb"
"Ml->Tb",0,7,0.931,0.295869594,1,2.2,4,0.000999999999999999,"Ml->Tb"
"My->Tb",0,10,0.975,0.629826356,1,1.9,3.7,0.000999999999999999,"My->Tb"
"Nh->Tb",0,16,1.011,0.61104878,1,1.4,0.8,0.000999999999999999,"Nh->Tb"
"Ph->Tb",0,36,0.791,0.869517695,0,2.5,4.6,0.000999999999999999,"Ph->Tb"
"Ps->Tb",0,20,0.865,0.448927218,1,2,5.9,0.000999999999999999,"Ps->Tb"
