"","Transitions","bodySize","hostDistances","rangeOverlap","roostOverlap","wingAspectRatio","wingLoading","Key"
"Ef->Ap",0,3,0.745,0.350810308,1,0.5,1.3,"Ef->Ap"
"Lb->Ap",0,26.1,0.878,0.080339893,0,0.6,5.9,"Lb->Ap"
"Lbl->Ap",0,23,0.8,0.677509322,0,0.6,5.9,"Lbl->Ap"
"Lc->Ap",2,15,0.71,0.35271819,0,2,8.4,"Lc->Ap"
"Li->Ap",0,11,0.86,0.082878865,0,1.6,3.891836735,"Li->Ap"
"Ln->Ap",0,20,0.711,0.335472773,1,0.5,0.1,"Ln->Ap"
"Ls->Ap",0,37.3,0.916,0.027116161,0,0.6,5.9,"Ls->Ap"
"Lx->Ap",0,11,0.788,1,0,1.6,3.891836735,"Lx->Ap"
"Ma->Ap",0,38,0.794,0.001,1,0.85859375,3.891836735,"Ma->Ap"
"Mc->Ap",0,40,0.717,0.924167131,1,0.5,3.3,"Mc->Ap"
"Ml->Ap",0,33,0.736,0.265450537,1,0.1,0.6,"Ml->Ap"
"My->Ap",0,36,0.78,0.874775546,1,0.2,0.3,"My->Ap"
"Nh->Ap",0,42,0.74,0.037879675,1,0.7,2.6,"Nh->Ap"
"Ph->Ap",0,62,0.596,1,1,0.4,1.2,"Ph->Ap"
"Ps->Ap",0,46,0.67,0.047886613,1,0.1,2.5,"Ps->Ap"
"Tb->Ap",0,26,0.923,0.578127217,1,2.1,3.4,"Tb->Ap"
"Ap->Ef",0,3,0.745,0.999999,1,0.5,1.3,"Ap->Ef"
"Lb->Ef",1,29.1,0.971,0.999999933,0,0.1,4.6,"Lb->Ef"
"Lbl->Ef",0,26,0.893,0.999999,0,0.1,4.6,"Lbl->Ef"
"Lc->Ef",3,12,0.803,0.999991803,0,1.5,7.1,"Lc->Ef"
"Li->Ef",0,8,0.953,1,0,1.1,3.891836735,"Li->Ef"
"Ln->Ef",0,23,0.586,0.999991103,1,0.001,1.2,"Ln->Ef"
"Ls->Ef",0,40.3,1.009,0.032222179,0,0.1,4.6,"Ls->Ef"
"Lx->Ef",0,8,0.881,1,0,1.1,3.891836735,"Lx->Ef"
"Ma->Ef",0,41,0.887,1,1,0.85859375,3.891836735,"Ma->Ef"
"Mc->Ef",0,43,0.81,1,1,1,4.6,"Mc->Ef"
"Ml->Ef",0,36,0.829,0.999988687,1,0.6,1.9,"Ml->Ef"
"My->Ef",0,39,0.873,1,1,0.3,1.6,"My->Ef"
"Nh->Ef",0,45,0.615,0.999999998,1,0.2,1.3,"Nh->Ef"
"Ph->Ef",0,65,0.689,1,0,0.9,2.5,"Ph->Ef"
"Ps->Ef",2,49,0.763,1,1,0.4,3.8,"Ps->Ef"
"Tb->Ef",1,29,1.016,0.99940271,1,1.6,2.1,"Tb->Ef"
"Ap->Lb",0,26.1,0.878,0.131926823,0,0.6,5.9,"Ap->Lb"
"Ef->Lb",0,29.1,0.971,0.576068561,0,0.1,4.6,"Ef->Lb"
"Lbl->Lb",0,3.1,0.316,9.45e-05,1,0.001,0.001,"Lbl->Lb"
"Lc->Lb",1,41.1,0.546,0.573874927,1,1.4,2.5,"Lc->Lb"
"Li->Lb",0,37.1,0.696,1,1,1,3.891836735,"Li->Lb"
"Ln->Lb",0,6.1,0.937,0.582864577,0,0.1,5.8,"Ln->Lb"
"Ls->Lb",1,11.2,0.118,0.032222179,1,0.001,0.001,"Ls->Lb"
"Lx->Lb",0,37.1,0.624,0.001,1,1,3.891836735,"Lx->Lb"
"Ma->Lb",0,11.9,0.944,1,0,0.85859375,3.891836735,"Ma->Lb"
"Mc->Lb",0,13.9,0.867,0.001,0,1.1,9.2,"Mc->Lb"
"Ml->Lb",0,6.9,0.886,0.571154659,0,0.7,6.5,"Ml->Lb"
"My->Lb",0,9.9,0.93,0.022809474,0,0.4,6.2,"My->Lb"
"Nh->Lb",0,15.9,0.966,0.999999998,0,0.1,3.3,"Nh->Lb"
"Ph->Lb",0,35.9,0.746,0.059008785,0,1,7.1,"Ph->Lb"
"Ps->Lb",0,19.9,0.82,0.991257879,0,0.5,8.4,"Ps->Lb"
"Tb->Lb",0,0.1,0.839,0.515980729,0,1.5,2.5,"Tb->Lb"
"Ap->Lbl",0,23,0.8,0.630884888,0,0.6,5.9,"Ap->Lbl"
"Ef->Lbl",0,26,0.893,0.326668453,0,0.1,4.6,"Ef->Lbl"
"Lb->Lbl",0,3.1,0.316,0.001,1,0.001,0.001,"Lb->Lbl"
"Lc->Lbl",1,38,0.468,0.328398675,1,1.4,2.5,"Lc->Lbl"
"Li->Lbl",0,34,0.618,0.001,1,1,3.891836735,"Li->Lbl"
"Ln->Lbl",0,3,0.859,0.310774266,0,0.1,5.8,"Ln->Lbl"
"Ls->Lbl",0,14.3,0.354,0.001,1,0.001,0.001,"Ls->Lbl"
"Lx->Lbl",0,34,0.546,1,1,1,3.891836735,"Lx->Lbl"
"Ma->Lbl",0,15,0.866,0.001,0,0.85859375,3.891836735,"Ma->Lbl"
"Mc->Lbl",1,17,0.789,0.742851858,0,1.1,9.2,"Mc->Lbl"
"Ml->Lbl",0,10,0.808,0.295377982,0,0.7,6.5,"Ml->Lbl"
"My->Lbl",0,13,0.852,0.747632846,0,0.4,6.2,"My->Lbl"
"Nh->Lbl",0,19,0.888,0.001,0,0.1,3.3,"Nh->Lbl"
"Ph->Lbl",0,39,0.668,0.741306921,0,1,7.1,"Ph->Lbl"
"Ps->Lbl",0,23,0.742,0.001,0,0.5,8.4,"Ps->Lbl"
"Tb->Lbl",0,3,0.761,0.415860176,0,1.5,2.5,"Tb->Lbl"
"Ap->Lc",0,15,0.71,0.998093531,0,2,8.4,"Ap->Lc"
"Ef->Lc",4,12,0.803,0.99268662,0,1.5,7.1,"Ef->Lc"
"Lb->Lc",2,41.1,0.546,0.988914569,1,1.4,2.5,"Lb->Lc"
"Lbl->Lc",0,38,0.468,0.997952637,1,1.4,2.5,"Lbl->Lc"
"Li->Lc",0,4,0.65,0.935013204,1,0.4,3.891836735,"Li->Lc"
"Ln->Lc",0,35,0.769,0.99897389,0,1.5,8.3,"Ln->Lc"
"Ls->Lc",0,52.3,0.584,0.964414163,1,1.4,2.5,"Ls->Lc"
"Lx->Lc",0,4,0.578,1,1,0.4,3.891836735,"Lx->Lc"
"Ma->Lc",0,53,0.776,0.993905825,0,0.85859375,3.891836735,"Ma->Lc"
"Mc->Lc",1,55,0.699,0.997386504,0,2.5,11.7,"Mc->Lc"
"Ml->Lc",0,48,0.718,0.998694956,0,2.1,9,"Ml->Lc"
"My->Lc",0,51,0.762,0.998752651,0,1.8,8.7,"My->Lc"
"Nh->Lc",0,57,0.798,0.978572725,0,1.3,5.8,"Nh->Lc"
"Ph->Lc",0,77,0.578,1,0,2.4,9.6,"Ph->Lc"
"Ps->Lc",0,61,0.652,0.985653242,0,1.9,10.9,"Ps->Lc"
"Tb->Lc",0,41,0.671,0.985425933,0,0.1,5,"Tb->Lc"
"Ap->Li",0,11,0.86,0.023175227,0,1.6,3.891836735,"Ap->Li"
"Ef->Li",1,8,0.953,0.098096281,0,1.1,3.891836735,"Ef->Li"
"Lb->Li",0,37.1,0.696,0.170285762,1,1,3.891836735,"Lb->Li"
"Lbl->Li",0,34,0.618,0.001,1,1,3.891836735,"Lbl->Li"
"Lc->Li",3,4,0.65,0.092396295,1,0.4,3.891836735,"Lc->Li"
"Ln->Li",0,31,0.919,0.060226704,0,1.1,3.891836735,"Ln->Li"
"Ls->Li",0,48.3,0.734,0.57066657,1,1,3.891836735,"Ls->Li"
"Lx->Li",0,0.001,0.357,0.001,1,0.001,3.891836735,"Lx->Li"
"Ma->Li",0,49,0.926,0.535777448,0,0.85859375,3.891836735,"Ma->Li"
"Mc->Li",0,51,0.849,0.001,0,2.1,3.891836735,"Mc->Li"
"Ml->Li",0,44,0.868,0.054919194,0,1.7,3.891836735,"Ml->Li"
"My->Li",0,47,0.912,0.001,0,1.4,3.891836735,"My->Li"
"Nh->Li",0,53,0.948,0.325726768,0,0.9,3.891836735,"Nh->Li"
"Ph->Li",0,73,0.728,0.001,0,2,3.891836735,"Ph->Li"
"Ps->Li",0,57,0.802,0.211865586,0,1.5,3.891836735,"Ps->Li"
"Tb->Li",0,37,0.821,0.198714592,0,0.5,3.891836735,"Tb->Li"
"Ap->Ln",0,20,0.711,0.874554346,1,0.5,0.1,"Ap->Ln"
"Ef->Ln",0,23,0.586,0.914530102,1,0.001,1.2,"Ef->Ln"
"Lb->Ln",0,6.1,0.937,0.925327198,0,0.1,5.8,"Lb->Ln"
"Lbl->Ln",0,3,0.859,0.870041009,0,0.1,5.8,"Lbl->Ln"
"Lc->Ln",2,35,0.769,0.920323004,0,1.5,8.3,"Lc->Ln"
"Li->Ln",0,31,0.919,0.561485345,0,1.1,3.891836735,"Li->Ln"
"Ls->Ln",0,17.3,0.975,0.713884717,0,0.1,5.8,"Ls->Ln"
"Lx->Ln",0,31,0.847,0.315590343,0,1.1,3.891836735,"Lx->Ln"
"Ma->Ln",0,18,0.853,0.744461691,1,0.85859375,3.891836735,"Ma->Ln"
"Mc->Ln",0,20,0.776,0.834106027,1,1,3.4,"Mc->Ln"
"Ml->Ln",0,13,0.795,0.96121489,1,0.6,0.7,"Ml->Ln"
"My->Ln",0,16,0.839,0.854626274,0,0.3,0.4,"My->Ln"
"Nh->Ln",0,22,0.531,0.855414101,1,0.2,2.5,"Nh->Ln"
"Ph->Ln",0,42,0.655,0.7801248,1,0.9,1.3,"Ph->Ln"
"Ps->Ln",0,26,0.729,0.911862343,1,0.4,2.6,"Ps->Ln"
"Tb->Ln",0,6,0.982,0.81883277,0,1.6,3.3,"Tb->Ln"
"Ap->Ls",0,37.3,0.916,0.011274566,0,0.6,5.9,"Ap->Ls"
"Ef->Ls",0,40.3,1.009,0.004700011,0,0.1,4.6,"Ef->Ls"
"Lb->Ls",6,11.2,0.118,0.00815877,1,0.001,0.001,"Lb->Ls"
"Lbl->Ls",0,14.3,0.354,0.001,1,0.001,0.001,"Lbl->Ls"
"Lc->Ls",0,52.3,0.584,0.004734817,1,1.4,2.5,"Lc->Ls"
"Li->Ls",0,48.3,0.734,0.848543056,1,1,3.891836735,"Li->Ls"
"Ln->Ls",0,17.3,0.975,0.113859748,0,0.1,5.8,"Ln->Ls"
"Lx->Ls",0,48.3,0.662,0.001,1,1,3.891836735,"Lx->Ls"
"Ma->Ls",0,0.7,0.982,0.813172371,0,0.85859375,3.891836735,"Ma->Ls"
"Mc->Ls",0,2.7,0.905,0.001,0,1.1,9.2,"Mc->Ls"
"Ml->Ls",0,4.3,0.924,0.127003883,0,0.7,6.5,"Ml->Ls"
"My->Ls",0,1.3,0.968,0.001,0,0.4,6.2,"My->Ls"
"Nh->Ls",0,4.7,1.004,0.461050502,0,0.1,3.3,"Nh->Ls"
"Ph->Ls",0,24.7,0.784,0.001,0,1,7.1,"Ph->Ls"
"Ps->Ls",0,8.7,0.858,0.010577303,0,0.5,8.4,"Ps->Ls"
"Tb->Ls",0,11.3,0.877,0.26047984,0,1.5,2.5,"Tb->Ls"
"Ap->Lx",0,11,0.788,0.088489185,0,1.6,3.891836735,"Ap->Lx"
"Ef->Lx",0,8,0.881,0.031042918,0,1.1,3.891836735,"Ef->Lx"
"Lb->Lx",0,37.1,0.624,0.001,1,1,3.891836735,"Lb->Lx"
"Lbl->Lx",0,34,0.546,0.095028822,1,1,3.891836735,"Lbl->Lx"
"Lc->Lx",3,4,0.578,0.031271363,1,0.4,3.891836735,"Lc->Lx"
"Li->Lx",0,0.001,0.357,0.01,1,0.001,3.891836735,"Li->Lx"
"Ln->Lx",0,31,0.847,0.010712341,0,1.1,3.891836735,"Ln->Lx"
"Ls->Lx",0,48.3,0.662,0.001,1,1,3.891836735,"Ls->Lx"
"Ma->Lx",0,49,0.854,0.001,0,0.85859375,3.891836735,"Ma->Lx"
"Mc->Lx",0,51,0.777,0.121306002,0,2.1,3.891836735,"Mc->Lx"
"Ml->Lx",0,44,0.796,0.002042596,0,1.7,3.891836735,"Ml->Lx"
"My->Lx",0,47,0.84,0.106301063,0,1.4,3.891836735,"My->Lx"
"Nh->Lx",0,53,0.876,0.001,0,0.9,3.891836735,"Nh->Lx"
"Ph->Lx",0,73,0.656,0.16707227,0,2,3.891836735,"Ph->Lx"
"Ps->Lx",0,57,0.73,0.001,0,1.5,3.891836735,"Ps->Lx"
"Tb->Lx",0,37,0.749,0.066152795,0,0.5,3.891836735,"Tb->Lx"
"Ap->Ma",0,38,0.794,0.001,1,0.85859375,3.891836735,"Ap->Ma"
"Ef->Ma",0,41,0.887,0.111254299,1,0.85859375,3.891836735,"Ef->Ma"
"Lb->Ma",0,11.9,0.944,0.193126823,0,0.85859375,3.891836735,"Lb->Ma"
"Lbl->Ma",0,15,0.866,0.001,0,0.85859375,3.891836735,"Lbl->Ma"
"Lc->Ma",1,53,0.776,0.111390027,0,0.85859375,3.891836735,"Lc->Ma"
"Li->Ma",0,49,0.926,0.607643267,0,0.85859375,3.891836735,"Li->Ma"
"Ln->Ma",0,18,0.853,0.090564353,1,0.85859375,3.891836735,"Ln->Ma"
"Ls->Ma",0,0.7,0.982,0.62023378,0,0.85859375,3.891836735,"Ls->Ma"
"Lx->Ma",0,49,0.854,0.001,0,0.85859375,3.891836735,"Lx->Ma"
"Mc->Ma",0,2,0.273,0.001,1,0.85859375,3.891836735,"Mc->Ma"
"Ml->Ma",0,5,0.292,0.109582888,1,0.85859375,3.891836735,"Ml->Ma"
"My->Ma",0,2,0.196,0.001,1,0.85859375,3.891836735,"My->Ma"
"Nh->Ma",0,4,0.882,0.373929497,1,0.85859375,3.891836735,"Nh->Ma"
"Ph->Ma",0,24,0.576,0.001,0,0.85859375,3.891836735,"Ph->Ma"
"Ps->Ma",0,8,0.65,0.248029161,1,0.85859375,3.891836735,"Ps->Ma"
"Tb->Ma",0,12,0.989,0.18249628,1,0.85859375,3.891836735,"Tb->Ma"
"Ap->Mc",0,40,0.717,0.674152926,1,0.5,3.3,"Ap->Mc"
"Ef->Mc",0,43,0.81,0.255905872,1,1,4.6,"Ef->Mc"
"Lb->Mc",0,13.9,0.867,0.001,0,1.1,9.2,"Lb->Mc"
"Lbl->Mc",0,17,0.789,0.58193606,0,1.1,9.2,"Lbl->Mc"
"Lc->Mc",3,55,0.699,0.257115352,0,2.5,11.7,"Lc->Mc"
"Li->Mc",0,51,0.849,0.001,0,2.1,3.891836735,"Li->Mc"
"Ln->Mc",1,20,0.776,0.23339935,1,1,3.4,"Ln->Mc"
"Ls->Mc",0,2.7,0.905,0.001,0,1.1,9.2,"Ls->Mc"
"Lx->Mc",0,51,0.777,1,0,2.1,3.891836735,"Lx->Mc"
"Ma->Mc",0,2,0.273,0.001,1,0.85859375,3.891836735,"Ma->Mc"
"Ml->Mc",0,7,0.139,0.235250685,1,0.4,2.7,"Ml->Mc"
"My->Mc",1,4,0.259,0.799062631,1,0.7,3,"My->Mc"
"Nh->Mc",0,2,0.805,0.001,1,1.2,5.9,"Nh->Mc"
"Ph->Mc",0,22,0.499,0.814583745,1,0.1,2.1,"Ph->Mc"
"Ps->Mc",0,6,0.573,0.001,1,0.6,0.8,"Ps->Mc"
"Tb->Mc",0,14,0.912,0.363652028,1,2.6,6.7,"Tb->Mc"
"Ap->Ml",0,33,0.736,0.544229558,1,0.1,0.6,"Ap->Ml"
"Ef->Ml",2,36,0.829,0.719226944,1,0.6,1.9,"Ef->Ml"
"Lb->Ml",1,6.9,0.886,0.71309991,0,0.7,6.5,"Lb->Ml"
"Lbl->Ml",0,10,0.808,0.650341975,0,0.7,6.5,"Lbl->Ml"
"Lc->Ml",0,48,0.718,0.303803852,0,2.1,9,"Lc->Ml"
"Li->Ml",0,44,0.868,0.402663697,0,1.7,3.891836735,"Li->Ml"
"Ln->Ml",1,13,0.795,0.755943753,1,0.6,0.7,"Ln->Ml"
"Ls->Ml",0,4.3,0.924,0.626244405,0,0.7,6.5,"Ls->Ml"
"Lx->Ml",0,44,0.796,0.047325022,0,1.7,3.891836735,"Lx->Ml"
"Ma->Ml",0,5,0.292,0.708429769,1,0.85859375,3.891836735,"Ma->Ml"
"Mc->Ml",6,7,0.139,0.661182741,1,0.4,2.7,"Mc->Ml"
"My->Ml",0,3,0.278,0.598910304,1,0.3,0.3,"My->Ml"
"Nh->Ml",0,9,0.824,0.68699529,1,0.8,3.2,"Nh->Ml"
"Ph->Ml",0,29,0.518,0.40592422,1,0.3,0.6,"Ph->Ml"
"Ps->Ml",0,13,0.592,0.758538958,1,0.2,1.9,"Ps->Ml"
"Tb->Ml",0,7,0.931,0.453478658,1,2.2,4,"Tb->Ml"
"Ap->My",0,36,0.78,0.728197569,1,0.2,0.3,"Ap->My"
"Ef->My",1,39,0.873,0.292028297,1,0.3,1.6,"Ef->My"
"Lb->My",0,9.9,0.93,0.011562879,0,0.4,6.2,"Lb->My"
"Lbl->My",0,13,0.852,0.668353328,0,0.4,6.2,"Lbl->My"
"Lc->My",1,51,0.762,0.293810392,0,1.8,8.7,"Lc->My"
"Li->My",0,47,0.912,0.001,0,1.4,3.891836735,"Li->My"
"Ln->My",0,16,0.839,0.001,0,0.3,0.4,"Ln->My"
"Ls->My",0,1.3,0.968,0.001,0,0.4,6.2,"Ls->My"
"Lx->My",0,47,0.84,1,0,1.4,3.891836735,"Lx->My"
"Ma->My",0,2,0.196,0.001,1,0.85859375,3.891836735,"Ma->My"
"Mc->My",4,4,0.259,0.911854418,1,0.7,3,"Mc->My"
"Ml->My",0,3,0.278,0.020322085,1,0.3,0.3,"Ml->My"
"Nh->My",0,6,0.868,0.001,1,0.5,2.9,"Nh->My"
"Ph->My",0,26,0.562,0.87886285,0,0.6,0.9,"Ph->My"
"Ps->My",0,10,0.636,2.12e-05,1,0.1,2.2,"Ps->My"
"Tb->My",0,10,0.975,0.39195068,1,1.9,3.7,"Tb->My"
"Ap->Nh",0,42,0.74,0.032125109,1,0.7,2.6,"Ap->Nh"
"Ef->Nh",1,45,0.615,0.297516267,1,0.2,1.3,"Ef->Nh"
"Lb->Nh",1,15.9,0.966,0.516459788,0,0.1,3.3,"Lb->Nh"
"Lbl->Nh",0,19,0.888,0.001,0,0.1,3.3,"Lbl->Nh"
"Lc->Nh",0,57,0.798,0.293283814,0,1.3,5.8,"Lc->Nh"
"Li->Nh",0,53,0.948,0.987896909,0,0.9,3.891836735,"Li->Nh"
"Ln->Nh",0,22,0.531,0.278282088,1,0.2,2.5,"Ln->Nh"
"Ls->Nh",0,4.7,1.004,0.94040563,0,0.1,3.3,"Ls->Nh"
"Lx->Nh",0,53,0.876,0.001,0,0.9,3.891836735,"Lx->Nh"
"Ma->Nh",0,4,0.882,0.999962335,1,0.85859375,3.891836735,"Ma->Nh"
"Mc->Nh",0,2,0.805,0.001,1,1.2,5.9,"Mc->Nh"
"Ml->Nh",0,9,0.824,0.284180069,1,0.8,3.2,"Ml->Nh"
"My->Nh",0,6,0.868,0.001,1,0.5,2.9,"My->Nh"
"Ph->Nh",0,20,0.684,0.001,0,1.1,3.8,"Ph->Nh"
"Ps->Nh",0,4,0.758,0.639340968,1,0.6,5.1,"Ps->Nh"
"Tb->Nh",0,16,1.011,0.387411273,1,1.4,0.8,"Tb->Nh"
"Ap->Ph",0,62,0.596,0.529646154,1,0.4,1.2,"Ap->Ph"
"Ef->Ph",0,65,0.689,0.18580533,0,0.9,2.5,"Ef->Ph"
"Lb->Ph",0,35.9,0.746,0.01903271,0,1,7.1,"Lb->Ph"
"Lbl->Ph",0,39,0.668,0.421647013,0,1,7.1,"Lbl->Ph"
"Lc->Ph",0,77,0.578,0.187172672,0,2.4,9.6,"Lc->Ph"
"Li->Ph",0,73,0.728,0.001,0,2,3.891836735,"Li->Ph"
"Ln->Ph",0,42,0.655,0.158496758,1,0.9,1.3,"Ln->Ph"
"Ls->Ph",0,24.7,0.784,0.001,0,1,7.1,"Ls->Ph"
"Lx->Ph",0,73,0.656,1,0,2,3.891836735,"Lx->Ph"
"Ma->Ph",0,24,0.576,0.001,0,0.85859375,3.891836735,"Ma->Ph"
"Mc->Ph",1,22,0.499,0.591444037,1,0.1,2.1,"Mc->Ph"
"Ml->Ph",0,29,0.518,0.104865413,1,0.3,0.6,"Ml->Ph"
"My->Ph",0,26,0.562,0.559183488,0,0.6,0.9,"My->Ph"
"Nh->Ph",0,20,0.684,0.001,0,1.1,3.8,"Nh->Ph"
"Ps->Ph",0,16,0.434,0.002605376,1,0.5,1.3,"Ps->Ph"
"Tb->Ph",0,36,0.791,0.344288288,0,2.5,4.6,"Tb->Ph"
"Ap->Ps",0,46,0.67,0.060654874,1,0.1,2.5,"Ap->Ps"
"Ef->Ps",0,49,0.763,0.444348723,1,0.4,3.8,"Ef->Ps"
"Lb->Ps",1,19.9,0.82,0.764603681,0,0.5,8.4,"Lb->Ps"
"Lbl->Ps",0,23,0.742,0.001,0,0.5,8.4,"Lbl->Ps"
"Lc->Ps",0,61,0.652,0.441196809,0,1.9,10.9,"Lc->Ps"
"Li->Ps",0,57,0.802,0.959691865,0,1.5,3.891836735,"Li->Ps"
"Ln->Ps",1,26,0.729,0.443048579,1,0.4,2.6,"Ln->Ps"
"Ls->Ps",0,8.7,0.858,0.032222179,0,0.5,8.4,"Ls->Ps"
"Lx->Ps",0,57,0.73,0.001,0,1.5,3.891836735,"Lx->Ps"
"Ma->Ps",0,8,0.65,0.990626359,1,0.85859375,3.891836735,"Ma->Ps"
"Mc->Ps",0,6,0.573,0.001,1,0.6,0.8,"Mc->Ps"
"Ml->Ps",0,13,0.592,0.468630948,1,0.2,1.9,"Ml->Ps"
"My->Ps",0,10,0.636,3.23e-05,1,0.1,2.2,"My->Ps"
"Nh->Ps",0,4,0.758,0.954873307,1,0.6,5.1,"Nh->Ps"
"Ph->Ps",0,16,0.434,0.006230689,1,0.5,1.3,"Ph->Ps"
"Tb->Ps",0,20,0.865,0.425094541,1,2,5.9,"Tb->Ps"
"Ap->Tb",0,26,0.923,0.773330991,1,2.1,3.4,"Ap->Tb"
"Ef->Tb",2,29,1.016,0.468980589,1,1.6,2.1,"Ef->Tb"
"Lb->Tb",0,0.1,0.839,0.420313775,0,1.5,2.5,"Lb->Tb"
"Lbl->Tb",0,3,0.761,0.597385233,0,1.5,2.5,"Lbl->Tb"
"Lc->Tb",0,41,0.671,0.465824797,0,0.1,5,"Lc->Tb"
"Li->Tb",0,37,0.821,0.950586329,0,0.5,3.891836735,"Li->Tb"
"Ln->Tb",0,6,0.982,0.420153215,0,1.6,3.3,"Ln->Tb"
"Ls->Tb",0,11.3,0.877,0.83800085,0,1.5,2.5,"Ls->Tb"
"Lx->Tb",0,37,0.749,1,0,0.5,3.891836735,"Lx->Tb"
"Ma->Tb",0,12,0.989,0.7697533,1,0.85859375,3.891836735,"Ma->Tb"
"Mc->Tb",0,14,0.912,0.666837643,1,2.6,6.7,"Mc->Tb"
"Ml->Tb",0,7,0.931,0.295869594,1,2.2,4,"Ml->Tb"
"My->Tb",0,10,0.975,0.629826356,1,1.9,3.7,"My->Tb"
"Nh->Tb",0,16,1.011,0.61104878,1,1.4,0.8,"Nh->Tb"
"Ph->Tb",0,36,0.791,0.869517695,0,2.5,4.6,"Ph->Tb"
"Ps->Tb",0,20,0.865,0.448927218,1,2,5.9,"Ps->Tb"
